Date,Clicks,Impressions,CTR,Position
2025-05-30,1,284,0.35%,16.3
2025-05-31,1,241,0.41%,22.6
2025-06-01,2,237,0.84%,24.7
2025-06-02,3,367,0.82%,19.4
2025-06-03,7,257,2.72%,21.3
2025-06-04,4,265,1.51%,15.3
2025-06-05,6,259,2.32%,15.1
2025-06-06,5,245,2.04%,14.8
2025-06-07,2,218,0.92%,18
2025-06-08,1,221,0.45%,15
2025-06-09,7,296,2.36%,13.4
2025-06-10,7,282,2.48%,16.6
2025-06-11,7,261,2.68%,13.1
2025-06-12,1,241,0.41%,15.2
2025-06-13,5,229,2.18%,16.7
2025-06-14,1,212,0.47%,19.4
2025-06-15,5,195,2.56%,16.4
2025-06-16,5,296,1.69%,16.8
2025-06-17,3,305,0.98%,20.1
2025-06-18,2,267,0.75%,19.2
2025-06-19,3,316,0.95%,23.8
2025-06-20,1,208,0.48%,23.3
2025-06-21,2,233,0.86%,21.9
2025-06-22,2,246,0.81%,21.7
2025-06-23,6,308,1.95%,16
2025-06-24,3,247,1.21%,13.1
2025-06-25,5,302,1.66%,21.5
2025-06-26,5,330,1.52%,17.8
2025-06-27,0,305,0%,13.1
2025-06-28,0,291,0%,17.6
2025-06-29,2,311,0.64%,17.4
2025-06-30,4,330,1.21%,14.1
2025-07-01,10,318,3.14%,16.9
2025-07-02,3,273,1.1%,18.5
2025-07-03,7,255,2.75%,17.6
2025-07-04,2,216,0.93%,21.3
2025-07-05,1,242,0.41%,19.7
2025-07-06,3,232,1.29%,21.5
2025-07-07,5,312,1.6%,16.1
2025-07-08,2,260,0.77%,18
2025-07-09,11,258,4.26%,17.6
2025-07-10,9,230,3.91%,17.5
2025-07-11,2,247,0.81%,23.3
2025-07-12,1,241,0.41%,21.4
2025-07-13,6,224,2.68%,19.3
2025-07-14,4,327,1.22%,17.1
2025-07-15,10,328,3.05%,17.8
2025-07-16,9,292,3.08%,17
2025-07-17,6,268,2.24%,16
2025-07-18,1,214,0.47%,17
2025-07-19,2,221,0.9%,20.2
2025-07-20,0,240,0%,20.2
2025-07-21,3,358,0.84%,17.1
2025-07-22,8,306,2.61%,20.2
2025-07-23,2,265,0.75%,15.7
2025-07-24,3,282,1.06%,15.5
2025-07-25,3,238,1.26%,18.3
2025-07-26,2,295,0.68%,27.3
2025-07-27,2,275,0.73%,25.2
2025-07-28,10,463,2.16%,16.2
2025-07-29,4,432,0.93%,16.1
2025-07-30,7,428,1.64%,15.5
2025-07-31,3,351,0.85%,17
2025-08-01,2,371,0.54%,14.9
2025-08-02,6,332,1.81%,18.1
2025-08-03,3,416,0.72%,17.7
2025-08-04,4,568,0.7%,17.5
2025-08-05,9,499,1.8%,14
2025-08-06,3,460,0.65%,11.5
2025-08-07,1,568,0.18%,11.8
2025-08-08,7,503,1.39%,13.2
2025-08-09,4,368,1.09%,16.5
2025-08-10,8,388,2.06%,14.5
2025-08-11,10,710,1.41%,11.4
2025-08-12,3,365,0.82%,12.6
2025-08-13,3,352,0.85%,14.2
2025-08-14,3,329,0.91%,15.3
2025-08-15,5,399,1.25%,12.8
2025-08-16,6,328,1.83%,16.5
2025-08-17,6,406,1.48%,16.1
2025-08-18,6,526,1.14%,13.2
2025-08-19,9,395,2.28%,12.5
2025-08-20,6,494,1.21%,16.6
2025-08-21,4,433,0.92%,11.7
2025-08-22,2,493,0.41%,13.2
2025-08-23,3,374,0.8%,13.3
2025-08-24,5,282,1.77%,16.4
2025-08-25,9,542,1.66%,11.8
2025-08-26,3,468,0.64%,12.3
2025-08-27,4,452,0.88%,12.4
2025-08-28,7,465,1.51%,18.5
2025-08-29,4,362,1.1%,14.6
2025-08-30,0,181,0%,29.1
2025-08-31,1,196,0.51%,29
2025-09-01,7,302,2.32%,25.6
2025-09-02,5,445,1.12%,14
2025-09-03,7,419,1.67%,10.5
2025-09-04,6,450,1.33%,13.4
2025-09-05,2,418,0.48%,11.8
2025-09-06,1,222,0.45%,22.4
2025-09-07,3,229,1.31%,22.3
2025-09-08,3,514,0.58%,14.7
2025-09-09,7,435,1.61%,12.5
2025-09-10,1,534,0.19%,9.1
2025-09-11,4,410,0.98%,8.6
2025-09-12,2,328,0.61%,7.8
2025-09-13,0,163,0%,8.3
2025-09-14,2,179,1.12%,12.1
2025-09-15,6,390,1.54%,7.6
2025-09-16,8,412,1.94%,9.2
2025-09-17,7,334,2.1%,6.7
2025-09-18,6,481,1.25%,12.4
2025-09-19,5,405,1.23%,9.6
2025-09-20,4,186,2.15%,13.2
2025-09-21,0,194,0%,14.9
2025-09-22,9,533,1.69%,14.8
2025-09-23,5,438,1.14%,11.9
2025-09-24,7,475,1.47%,11.3
2025-09-25,3,343,0.87%,8
2025-09-26,2,277,0.72%,7.9
2025-09-27,1,121,0.83%,12.1
2025-09-28,1,159,0.63%,13.7
2025-09-29,5,429,1.17%,8.6
2025-09-30,3,329,0.91%,7.3
2025-10-01,2,344,0.58%,8.4
2025-10-02,2,356,0.56%,6.8
2025-10-03,4,247,1.62%,12.5
2025-10-04,5,146,3.42%,12.4
2025-10-05,6,149,4.03%,10.9
2025-10-06,10,376,2.66%,9.3
2025-10-07,2,327,0.61%,7.4
2025-10-08,3,360,0.83%,6.6
2025-10-09,3,360,0.83%,5.7
2025-10-10,1,144,0.69%,11.2
2025-10-11,0,121,0%,11.4
2025-10-12,3,134,2.24%,11.7
2025-10-13,3,260,1.15%,11.7
2025-10-14,1,296,0.34%,8.5
2025-10-15,2,308,0.65%,9.5
2025-10-16,3,253,1.19%,6.8
2025-10-17,2,281,0.71%,7.6
2025-10-18,3,136,2.21%,11.8
2025-10-19,2,141,1.42%,10.5
2025-10-20,6,559,1.07%,6.4
2025-10-21,6,259,2.32%,5.3
2025-10-22,3,315,0.95%,5.2
2025-10-23,3,280,1.07%,5.7
2025-10-24,5,256,1.95%,5.3
2025-10-25,6,114,5.26%,9.8
2025-10-26,3,132,2.27%,7.8
2025-10-27,10,387,2.58%,7.1
2025-10-28,2,381,0.52%,5.4
2025-10-29,3,330,0.91%,6.3
2025-10-30,3,293,1.02%,6.8
2025-10-31,3,262,1.15%,7.5
2025-11-01,4,205,1.95%,10
2025-11-02,4,162,2.47%,9
2025-11-03,10,377,2.65%,6.7
2025-11-04,6,243,2.47%,7
2025-11-05,5,354,1.41%,6.7
2025-11-06,6,333,1.8%,7.7
2025-11-07,2,289,0.69%,6
2025-11-08,1,174,0.57%,8
2025-11-09,1,192,0.52%,9.4
2025-11-10,5,361,1.39%,8
2025-11-11,4,192,2.08%,8.7
2025-11-12,4,274,1.46%,7.7
2025-11-13,6,327,1.83%,7.8
2025-11-14,1,349,0.29%,8.6
2025-11-15,3,127,2.36%,10.1
2025-11-16,2,158,1.27%,9.7
2025-11-17,3,248,1.21%,8.5
2025-11-18,3,317,0.95%,7.5
2025-11-19,5,305,1.64%,9.2
2025-11-20,2,358,0.56%,9
2025-11-21,4,287,1.39%,8
2025-11-22,1,165,0.61%,10.6
2025-11-23,1,166,0.6%,15.5
2025-11-24,9,365,2.47%,11.8
2025-11-25,3,300,1%,11.4
2025-11-26,0,245,0%,29.5
2025-11-27,1,169,0.59%,24.9
2025-11-28,0,191,0%,19
2025-11-29,1,196,0.51%,15.7
2025-11-30,5,234,2.14%,17.9
2025-12-01,10,481,2.08%,8.6
2025-12-02,3,398,0.75%,10.4
2025-12-03,3,364,0.82%,8.8
2025-12-04,7,277,2.53%,8.1
2025-12-05,5,300,1.67%,11
2025-12-06,5,213,2.35%,16.1
2025-12-07,5,202,2.48%,14.6
2025-12-08,4,454,0.88%,12.2
2025-12-09,3,417,0.72%,9.7
2025-12-10,0,329,0%,12.9
2025-12-11,1,374,0.27%,9.9
2025-12-12,1,317,0.32%,10.5
2025-12-13,0,204,0%,16.3
2025-12-14,3,267,1.12%,16
2025-12-15,5,509,0.98%,12.3
2025-12-16,5,371,1.35%,12.6
2025-12-17,6,342,1.75%,9.8
2025-12-18,5,404,1.24%,11.7
2025-12-19,2,353,0.57%,11.6
2025-12-20,8,250,3.2%,17
2025-12-21,6,256,2.34%,12.8
2025-12-22,5,387,1.29%,13.4
2025-12-23,1,244,0.41%,19.9
2025-12-24,1,193,0.52%,18.4
2025-12-25,1,165,0.61%,18.2
2025-12-26,1,241,0.41%,16.3
2025-12-27,2,266,0.75%,15
2025-12-28,0,237,0%,13.6
2025-12-29,3,361,0.83%,11.3
2025-12-30,8,257,3.11%,14.4
2025-12-31,3,233,1.29%,10.7
2026-01-01,0,300,0%,11.4
2026-01-02,4,340,1.18%,9.4
2026-01-03,5,265,1.89%,9.1
2026-01-04,2,255,0.78%,10.4
2026-01-05,9,481,1.87%,7.5
2026-01-06,3,495,0.61%,9
2026-01-07,2,509,0.39%,8.7
2026-01-08,2,540,0.37%,8.5
2026-01-09,6,523,1.15%,8.1
2026-01-10,4,192,2.08%,15.7
2026-01-11,2,215,0.93%,10.7
2026-01-12,8,486,1.65%,10
2026-01-13,5,358,1.4%,8.4
2026-01-14,8,376,2.13%,9.8
2026-01-15,4,354,1.13%,11.2
2026-01-16,8,340,2.35%,9.3
2026-01-17,4,221,1.81%,13.8
2026-01-18,4,200,2%,13.4
2026-01-19,12,435,2.76%,10.1
2026-01-20,7,513,1.36%,9.7
2026-01-21,6,420,1.43%,10.2
2026-01-22,5,422,1.18%,9.8
2026-01-23,3,365,0.82%,9.9
2026-01-24,3,290,1.03%,14.6
2026-01-25,6,251,2.39%,12
2026-01-26,3,614,0.49%,11.3
2026-01-27,8,507,1.58%,13.1
2026-01-28,1,448,0.22%,10.9
2026-01-29,2,397,0.5%,7.3
2026-01-30,3,397,0.76%,10.1
2026-01-31,2,265,0.75%,16.4
2026-02-01,1,218,0.46%,13
2026-02-02,5,465,1.08%,11.2
2026-02-03,3,382,0.79%,8.6
2026-02-04,3,351,0.85%,8.7
2026-02-05,4,333,1.2%,10.7
2026-02-06,1,301,0.33%,11.3
2026-02-07,1,156,0.64%,11.8
2026-02-08,4,167,2.4%,8.7
2026-02-09,2,397,0.5%,8.9
2026-02-10,3,210,1.43%,10.7
2026-02-11,4,224,1.79%,13
2026-02-12,8,229,3.49%,8.3
2026-02-13,2,277,0.72%,11.2
2026-02-14,2,134,1.49%,12.5
2026-02-15,1,129,0.78%,10.9
2026-02-16,6,240,2.5%,11.6
2026-02-17,7,203,3.45%,11.2
2026-02-18,10,356,2.81%,9.9
2026-02-19,8,318,2.52%,7.8
2026-02-20,3,308,0.97%,10.4
2026-02-21,1,214,0.47%,12.5
2026-02-22,4,228,1.75%,10.5
2026-02-23,5,456,1.1%,7.6
2026-02-24,7,381,1.84%,8.7
2026-02-25,5,343,1.46%,8.7
2026-02-26,9,319,2.82%,7.4
2026-02-27,2,341,0.59%,9
2026-02-28,2,191,1.05%,12.4
2026-03-01,4,220,1.82%,11.5
2026-03-02,5,360,1.39%,9.8
2026-03-03,6,445,1.35%,4.8
2026-03-04,5,313,1.6%,8.7
2026-03-05,2,358,0.56%,7.5
2026-03-06,2,316,0.63%,7.1
2026-03-07,3,225,1.33%,13.1
2026-03-08,3,200,1.5%,11.3
2026-03-09,3,443,0.68%,8
2026-03-10,3,355,0.85%,8.9
2026-03-11,3,314,0.96%,7.2
2026-03-12,3,354,0.85%,8.5
2026-03-13,1,389,0.26%,9.1
2026-03-14,4,204,1.96%,16
2026-03-15,5,206,2.43%,12.4
2026-03-16,3,539,0.56%,9.4
2026-03-17,4,466,0.86%,7.8
2026-03-18,5,322,1.55%,8.5
2026-03-19,4,369,1.08%,7.9
2026-03-20,0,304,0%,9.4
2026-03-21,5,241,2.07%,18.6
2026-03-22,0,259,0%,20
2026-03-23,6,542,1.11%,6
2026-03-24,3,402,0.75%,7.9
2026-03-25,5,462,1.08%,9.7
2026-03-26,3,379,0.79%,9
2026-03-27,2,214,0.93%,16.9
2026-03-28,3,176,1.7%,15.8
2026-03-29,5,200,2.5%,13.7
2026-03-30,5,307,1.63%,8.5
2026-03-31,4,246,1.63%,10.2
2026-04-01,4,234,1.71%,12.7
2026-04-02,3,223,1.35%,12.3
2026-04-03,4,183,2.19%,11.5
2026-04-04,2,209,0.96%,14.5
2026-04-05,1,155,0.65%,18.7
2026-04-06,4,340,1.18%,11.6
2026-04-07,3,329,0.91%,10.5
2026-04-08,5,301,1.66%,11.6
2026-04-09,9,336,2.68%,7.7
2026-04-10,3,354,0.85%,11.2
2026-04-11,2,249,0.8%,21
2026-04-12,6,252,2.38%,20.8
2026-04-13,6,534,1.12%,9.7
2026-04-14,10,381,2.62%,11.5
2026-04-15,4,366,1.09%,11.5
2026-04-16,3,413,0.73%,11.5
2026-04-17,1,344,0.29%,8.8
2026-04-18,1,248,0.4%,14.5
2026-04-19,3,214,1.4%,11
2026-04-20,6,517,1.16%,8.1
2026-04-21,9,382,2.36%,9
2026-04-22,2,356,0.56%,8.4
2026-04-23,9,395,2.28%,8.4
2026-04-24,2,317,0.63%,8
2026-04-25,3,202,1.49%,13.3
2026-04-26,1,192,0.52%,16.3
2026-04-27,2,448,0.45%,9
2026-04-28,5,328,1.52%,11.1
2026-04-29,8,368,2.17%,10.4
2026-04-30,3,372,0.81%,11.3
2026-05-01,4,433,0.92%,9.3
2026-05-02,6,157,3.82%,15.6
2026-05-03,0,218,0%,13.9
2026-05-04,3,473,0.63%,9.2
2026-05-05,6,283,2.12%,11.5
2026-05-06,9,392,2.3%,9.7
2026-05-07,8,330,2.42%,9
2026-05-08,2,355,0.56%,10.5
2026-05-09,4,190,2.11%,14.1
2026-05-10,1,183,0.55%,14.8
2026-05-11,9,517,1.74%,9.4
2026-05-12,4,344,1.16%,11.7
2026-05-13,11,370,2.97%,10.6
2026-05-14,5,339,1.47%,10.2
2026-05-15,1,285,0.35%,13.2
2026-05-16,4,200,2%,12.2
2026-05-17,3,202,1.49%,16.9
2026-05-18,10,555,1.8%,10.1
2026-05-19,6,300,2%,9.5
2026-05-20,12,288,4.17%,9.9
2026-05-21,0,286,0%,9.3
2026-05-22,0,309,0%,10.4
2026-05-23,3,146,2.05%,18.8
2026-05-24,2,149,1.34%,19.8
2026-05-25,5,233,2.15%,9.6
2026-05-26,4,379,1.06%,10.5
2026-05-27,2,315,0.63%,13.4
2026-05-28,6,278,2.16%,9.6
2026-05-29,4,206,1.94%,11.7
2026-05-30,0,123,0%,13.5
2026-05-31,5,168,2.98%,16.5
2026-06-01,5,281,1.78%,11.1
2026-06-02,5,138,3.62%,12.7
2026-06-03,10,195,5.13%,13.9
2026-06-04,9,168,5.36%,15.4
2026-06-05,4,155,2.58%,12.9
2026-06-06,2,123,1.63%,16.6
2026-06-07,1,107,0.93%,16.3
2026-06-08,6,273,2.2%,9.6
2026-06-09,10,209,4.78%,10.1
2026-06-10,3,243,1.23%,11.9
2026-06-11,6,153,3.92%,10.5
2026-06-12,3,194,1.55%,11.4
2026-06-13,6,154,3.9%,14.2
2026-06-14,1,123,0.81%,20.1
